"Repartición Licitante","Tipo de Licitación","Nro. Expediente","Año Expediente","Objeto","Monto Oficial","Costo Pliego","Sellado","Observaciones","Fecha Apertura","Fecha Resolución","Nro. Resolución","Tipo de Norma","Nro de Norma","Año Norma","Resultado","Estado","Link",
"Servicio Público de la Vivienda y el Hábitat","Licitación Privada",20,2024,"Programas Locales de Hábitat y Vivienda - Emergencia Habitacional - Convenio SDHH - SSP - SGDH 2024 - ARTÍCULOS SANITARIOS","4.301.852,02",",00",",00","","20/02/2024","01/02/2024",0,,,,"Se deja sin efecto el presente llamado.","Anulada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29752",
"Secretaría de Desarrollo Humano y Hábitat","Licitación Privada",2729,2024,"CONTRATACIÓN DEL SERVICIO DE SEGURIDAD PRIVADA PARA EL EDIFICIO DE LA SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT","9.720.000,00","19.440,00",",00","","20/02/2024","27/02/2024",1367,,,,"A la firma:CUBRIR SERVICIOS EMPRESARIOS S.A. por la suma de $7.090,00 h/h. Por única propuesta y precio corriente en plaza. ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29767",
"Secretaría de Cultura y Educación","Concurso de Precios",2601,2024,"Servicio de mantenimiento de ascensor para el Centro Cultural ""Roberto Fontanarrosa""","420.000,00",",00",",00","","20/02/2024","12/03/2024",96,,,,"El presente llamado se declara desierto","Desierta","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29847",
"Secretaría de Control y Convivencia","Concurso de Precios",7,2024,"Adquisición de Materiales para instalación de Aires Acondicionados de la Dir. Gral de Transito - Sec. de Control y Convivencia ","401.390,00",",00",",00","","20/02/2024","26/02/2024",56,,,,"Ítem: 1,2,3,4,6, y 8 se adjudican por menor precio a Service Italia SRL
Item: 5 y 7 se declaran nulos por error en el pedido
Total Adjudicado:                 $362.120,00 (Trescientos sesenta y dos mil ciento veinte)","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29877",
"Servicio Público de la Vivienda y el Hábitat","Licitación Privada",21,2024,"Programas Locales de Hábitat y Vivienda - Emergencia Habitacional - Convenio SDHH - SSP - SGDH 2024 - ARTÍCULOS ELECTRICOS ","8.534.515,40",",00",",00","","21/02/2024","01/02/2024",0,,,,"Se deja sin efecto el presente llamado.","Anulada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29758",
"APS (S.S.P.)","Licitación Privada",0,0,"BIOLOGÍA MOLECULAR SEMIAUTOMATIZADA","42.042.000,00",",00","113.514,00","","21/02/2024","29/02/2024",394,,,,"Rosario,  ""CUNA DE LA BANDERA"" , 29/02/2024

 VISTO el llamado a Licitación Privada Nº 11-025/24 efectuado por la DIRECCIÓN DE BIOQUÍMICA A dependiente de la Secretaría de Salud Pública  para  la adquisición de BIOLOGÍA MOLECULAR SEMIAUTOMATIZADA, teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PUBLICA
RESUELVE


ART. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.

ADJUDICATARIO:    IANUS S.A., en el/los ítem/s 1, 2, 3, 4 y 5, por un importe total de                      $ 41.912.928,00  (pesos cuarenta y un millones novecientos doce mil novecientos veintiocho cuatro con 00/100).-

ART. 2º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable en forma optativa de la siguiente manera:

0.08013.1.08.11.2.01.14.2.1.02.05.02.09;   0.08013.1.08.11.2.01.15.2.1.02.05.02.09; 0.08013.1.08.11.2.01.17.2.1.02.05.02.09;    0.08013.1.08.11.1.01.01.2.1.02.05.02.09

 (OTROS SIN DISCRIMINAR) la cantidad de $ 41.912.928,00  (pesos cuarenta y un millones novecientos doce mil novecientos veintiocho cuatro con 00/100.-) del presupuesto vigente y con estricto cumplimiento del art. 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.
 


Rosario,  ""CUNA DE LA BANDERA"" 

 VISTO el llamado a Licitación Privada Nº 11-025/24 efectuado por la DIRECCIÓN DE BIOQUÍMICA A dependiente de la Secretaría de Salud Pública  para  la adquisición de BIOLOGÍA MOLECULAR SEMIAUTOMATIZADA, teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PUBLICA
RESUELVE


ART. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.

ADJUDICATARIO:    IANUS S.A., en el/los ítem/s 1, 2, 3, 4 y 5, por un importe total de                      $ 41.912.928,00  (pesos cuarenta y un millones novecientos doce mil novecientos veintiocho cuatro con 00/100).-

ART. 2º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable en forma optativa de la siguiente manera:

0.08013.1.08.11.2.01.14.2.1.02.05.02.09;   0.08013.1.08.11.2.01.15.2.1.02.05.02.09; 0.08013.1.08.11.2.01.17.2.1.02.05.02.09;    0.08013.1.08.11.1.01.01.2.1.02.05.02.09

 (OTROS SIN DISCRIMINAR) la cantidad de $ 41.912.928,00  (pesos cuarenta y un millones novecientos doce mil novecientos veintiocho cuatro con 00/100.-) del presupuesto vigente y con estricto cumplimiento del art. 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.
 






","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29811",
"APS (S.S.P.)","Licitación Privada",0,0,"TUBOS DE EXTRACCIÓN VACÍO C.E.M.A.R.","38.359.360,00",",00","103.571,00","","21/02/2024","29/02/2024",395,,,,"Rosario,  ""CUNA DE LA BANDERA"" , 29/02/2024

 VISTO el llamado a Licitación Privada Nº 11-026/24 efectuado por la DIRECCIÓN DE BIOQUÍMICA A dependiente de la Secretaría de Salud Pública  para  la adquisición de TUBOS DE EXTRACCIÓN AL VACÍO CEMAR, teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PUBLICA
RESUELVE


ART. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.

ADJUDICATARIO:    IANUS S.A., en el/los ítem/s 1, 2, 3, 4, 5, 6, 7 y 8, por un importe total de                      $ 37.382.840,00  (pesos treinta y siete millones trescientos ochenta y dos mil ochocientos cuarenta con 00/100).-

ART. 2º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable en forma optativa de la siguiente manera:

0.08013.1.08.11.2.01.14.2.1.02.05.02.09;   0.08013.1.08.11.2.01.15.2.1.02.05.02.09; 0.08013.1.08.11.2.01.17.2.1.02.05.02.09;    0.08013.1.08.11.1.01.01.2.1.02.05.02.09

 (OTROS SIN DISCRIMINAR) la cantidad de $ 37.382.840,00  (pesos treinta y siete millones trescientos ochenta y dos mil ochocientos cuarenta con 00/100.-) del presupuesto vigente y con estricto cumplimiento del art. 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29813",
"APS (S.S.P.)","Licitación Privada",0,0,"GASTROENTEROLOGÍA - ENFERMEDAD CELÍACA","41.236.000,00",",00","111.338,00","","21/02/2024","29/02/2024",401,,,,"Rosario,  ""CUNA DE LA BANDERA""   29/02/2024

 VISTO el llamado a Licitación Privada Nº 11-031/24 efectuado por la DIRECCIÓN DE BIOQUÍMICA dependiente de la Secretaría de Salud Pública  para  la adquisición de ENFERMEDAD CELÍACA, teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PUBLICA
RESUELVE


ART. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.

ADJUDICATARIO:  BIODIAGNÓSTICO  S.A., en el/los ítem/s  1, 2, 3 y 4 por un importe total de                 $ 18.922.511,31  (pesos dieciocho millones novecientos veintidos mil quinientos once con 31/100.-)
IANUS S.A., en el/los ítem/s  5 y 6 por un importe total de $ 8.882.926,00  (pesos ocho millones ochocientos ochenta y dos mil novecientos veintiséis  con 00/100).-

ART. 2º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable en forma optativa de la siguiente manera:

0.08013.1.08.11.2.01.14.2.1.02.05.02.09;   0.08013.1.08.11.2.01.15.2.1.02.05.02.09; 0.08013.1.08.11.2.01.17.2.1.02.05.02.09;    0.08013.1.08.11.1.01.01.2.1.02.05.02.09

 (OTROS SIN DISCRIMINAR) la cantidad de $ 27.805.437,31 (pesos veintisiete millones ochocientos  cinco mil cuatrocientos treinta y siete con 31/100.-) del presupuesto vigente y con estricto cumplimiento del art. 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar. ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29818",
"Secretaría de Deporte y Turismo","Concurso de Precios",5,2024,"Adquisición de elementos de limpieza para las oficinas y actividades de la Subsecretaria de Deporte - Sec. de Deporte y Turismo - Municipalidad de Rosario ","807.250,00",",00",",00","","21/02/2024",,0,,,,,"Abierta en evaluación","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29853",
"Subsecretaría de Obras Públicas","Concurso de Precios",6,2024,"Caños de hormigón armado para la Dir. de Construcciones Hidráulicas y Mantenimiento - Sec. de Obras Publicas ","792.480,00",",00",",00","","21/02/2024","01/03/2024",0,,,,"Se desestima la oferta de SCAPIN S.R.L.. Se declara fracasado el presente llamado  ","Fracasada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29863",
"Hospital de Emergencias ""Dr. Clemente Álvarez""","Concurso de Precios",37,2024,"ANESTESICOS","4.711.000,00",",00",",00","","21/02/2024","23/02/2024",346,,,,"RESOLUCION  N.º   000346	
Rosario, ""Cuna de la Bandera""  23 FEB 2024	

VISTO el llamado a Concurso de Precios Nro: 37/02 efectuado por el H.E.C.A., dependiente de la Secretaria de Salud Publica, para la adquisición de ?ANESTÉSICOS? , y teniendo en cuenta los informes obrantes en el mencionado legajo.
Y VISTO: La  necesidad de efectuar adquisición  de medicamentos, insumos médicos, ,material descartable y elementos indispensables para la prestación del servicio de salud, en los efectores que integran la red de salud de esta Secretaria de Salud Pública.

        Y CONSIDERANDO:  Que de conformidad a las Ordenanzas  nro: 10.037 dictadas en fecha 19 de marzo de 2020, y sus correspondientes prórrogas y debidamente promulgadas, el Concejo Municipal aprueba el  Protocolo de Agilización  de relaciones instiucioanles municipales en materia sanitaria, en su articulo cuarto,  y conforme las facultades otorgadas pro el articulo 11 de la L.O.M y el art 68 inc a de la O.C al se autoriza, al  Departamento Ejecutivo a efectuar por el plazo de 180 días la contratación directa de los bienes y  servicios que sean necesarios para la contención social y sanitaria de la población.
Que por lo tanto el órgano legislativo exime por razones de urgencia, al Departamento Ejecutivo de efectuar los procedimientos de compras, que por monto hubieran correspondido incoar, según la Ordenanza de Contabilidad y el Reglamento de compras vigentes, aplicando de esta forma el articulo 68 inc a de la Ordenanza de Contabilidad.
Que no obstante esta autorización otorgada y a los fines de asegurar total transparencia y permitir la mayor participación se han efectuado invitaciones y publicación del llamado para  obtener también las ofertas mas conveniente y que permitan con ello, una afectación de los recursos en la mayor atención de las necesidades que imponga el desarrollo de la pandemia en su propagación.

                           
                        SIENDO NECESARIO PROVEER SOBRE EL PARTICULAR 
                                               EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PÚBLICA RESUELVE




ART. 1º: DESESTIMASE:  ítems  N.º 1  por superar las ofertas en un más del 20% el presupuesto oficial estimado y que no se corresponden con precios corrientes en plaza conforme informe del servicio a fs 58.

ART. 2º: ADJUDICASE: el precitado Concurso en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-

ADJUDICATARIO: DROG. COMARSA S.A. en  los ítems  2  por un importe total de  
$  2.695.128,80 (pesos dos millones seiscientos noventa y cinco mil ciento veintiocho con ochenta).

ADJUDICATARIO: DROG. DEL LITORAL S.A. en  los ítems  3  por un importe total de  
$  800.000,00 (pesos ochocientos mil con 00/00).

     ART. 3º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de  Liquidación de Haberes y Administrativo-Contable a la siguiente partida:       0.08020.1.08.02.0.1.01.1.2.1.02.05.02.21; (ANESTESICOS) la cantidad de 
$ 3.495.128,80 (pesos tres millones cuatrocientos noventa y cinco mil ciento veintiocho con ochenta). del presupuesto  vigente y con estricto cumplimiento del art 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.

","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29889",
"Dirección General de Defunciones y Cementerios","Licitación Pública",24366,2023,"Servicio de Vigilancia en los Cementerios El Salvador y La Piedad - Dir. Gral de Defunciones y Cementerios - Sec. Ambiente y Espacio Público ","280.639.424,00","757.726,45",",00","","22/02/2024","26/04/2024",487,,,,"Se ADJUDICA a la firma BUNKER SEGURIDAD SRL por mejor puntaje y precio corriente en plaza por el plazo de 12 meses desde el 01/05/2024 al 30/04/2025 por un importe total de $362.161.200
Primer semestre 17.753 horas a $8.900. total: $158.001.700
Segundo semestre 17.753 horas a $11.500. total: $204.159.500","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29742",
"Instituto Municipal de Salud Animal (IMuSA)","Licitación Privada",0,0,"ALIMENTO BALANCEADO SECO PARA CANES Y FELINOS DEL IMUSA.","9.116.300,00","24.614,01",",00","","22/02/2024","27/02/2024",367,,,,"RESOLUCION Nº 000367

ROSARIO, Cuna de la Bandera  27/02/2024


VISTO el llamado a Licitación Privada Nº 001/24 efectuado por I.Mu.S.A para la adquisición Alimento Balanceado seco para canes y felinos para el  IMUSA , dependiente de la Secretaría de Salud Pública.  
Y CONSIDERANDO conveniente proveer al respecto teniendo en cuenta los informes obrantes en el mencionado legajo.
EN USO DE SUS ATRIBUTOS
LA SECRETARIA DE SALUD PUBLICA
RESUELVE


ART. 1º ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones; al siguiente ADJUDICATARIOS:


* DAB SRL, items 1, 2 y 3, pesos seis millones cuatrocientos sesenta y nueve mil quinientos ($ 6.469.500,00);

          ART. 2º: EL GASTO que demande el cumplimiento de la presente Resolución se imputará de la siguiente manera: 
          	A la partida: 0.08101.1.08.12.0.1.1.1.2.9.02.01.02.0 (Alimentos para animales) por una cantidad de pesos seis millones cuatrocientos sesenta y nueve mil quinientos ($ 6.469.500,00); del presupuesto del año 2024, con estricto cumplimiento del Art. 55 de la ordenanza de contabilidad según corresponda..-

ART 3º: COPIAR: comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29770",
"Servicio Urbano de Mantenimiento Ambiental Rosario (Sumar)","Licitación Pública",102,2024,"Adquisición de Uniformes de trabajo de invierno y Calzado de Seguridad para el Personal del Ente Autarquía Servicio Urbano de Mantenimiento Ambiental Rosario - SUMAR - IMPORTANTE: Abonado unicamente por depósito o transf electrónica cta 020-0008147/8 Banco Municipal CBU 0650020701000000814789","39.000.000,00","20.000,00",",00","","22/02/2024","20/12/2024",0,,,,"Se ADJUDICA por ÚNICA PROPUESTA y PRECIO CORRIENTE EN PLAZA a BARILOCHE INDUMENTARIA S.R.L. por un monto total de $35.793.744,00.- Se DESESTIMAN las ofertas de MERCOTEX S.A. y de GRUPO SONSINI S.R.L.-","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29807",
"APS (S.S.P.)","Licitación Privada",0,0,"ENDOCRINOLOGÍA REPRODUCTIVA Y RENAL","14.985.000,00",",00","29.970,00","","22/02/2024","29/02/2024",396,,,,"Rosario,  ""CUNA DE LA BANDERA"" 29/02/2024

 VISTO el llamado a Licitación Privada Nº 11-027/24 efectuado por la DIRECCIÓN DE BIOQUÍMICA A dependiente de la Secretaría de Salud Pública  para  la adquisición de ENDOCRINOLOGÍA REPRODUCTIVA Y RENAL, teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PUBLICA
RESUELVE


ART. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.

ADJUDICATARIO:  BIODIAGNÓSTICO S.A., en el/los ítem/s 1, 2, 3 y 4, por un importe total de                $ 13.868.061,00  (pesos trece millones ochocientos sesenta y ocho mil sesenta y uno con 00/100).-

ART. 2º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable en forma optativa de la siguiente manera:

0.08013.1.08.11.2.01.14.2.1.02.05.02.09;   0.08013.1.08.11.2.01.15.2.1.02.05.02.09; 0.08013.1.08.11.2.01.17.2.1.02.05.02.09;    0.08013.1.08.11.1.01.01.2.1.02.05.02.09

 (OTROS SIN DISCRIMINAR) la cantidad de $ 13.868.061,00  (pesos trece millones ochocientos sesenta y ocho mil sesenta y uno con 00/100.-) del presupuesto vigente y con estricto cumplimiento del art. 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29814",
"APS (S.S.P.)","Licitación Privada",0,0,"INMUNOSEROLOGÍA - ACCESO ALEATORIO SCREENING","22.170.400,00",",00","59.860,00","","22/02/2024","29/02/2024",397,,,,"Rosario,  ""CUNA DE LA BANDERA""  29/02/2024

 VISTO el llamado a Licitación Privada Nº 11-028/24 efectuado por la DIRECCIÓN DE BIOQUÍMICA A dependiente de la Secretaría de Salud Pública para la adquisición de ACCESO ALEATORIO SCREENING,  teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PUBLICA
RESUELVE

ART. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.

ADJUDICATARIO:    TOTARO, DÉBORA LUCRECIA, en el/los ítem/s 1, 2, 3, 4, 5, 6 ,7, 8, 9 y 10 por un importe total de $ 30.506.953,39  (pesos treinta millones quinientos seis mil novecientos cincuenta y tres  con 39/100).-

ART. 2º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable en forma optativa de la siguiente manera:

0.08013.1.08.11.2.01.14.2.1.02.05.02.09;   0.08013.1.08.11.2.01.15.2.1.02.05.02.09; 0.08013.1.08.11.2.01.17.2.1.02.05.02.09;    0.08013.1.08.11.1.01.01.2.1.02.05.02.09

 (OTROS SIN DISCRIMINAR) la cantidad de $ 30.506.953,39  (pesos treinta millones quinientos seis mil novecientos cincuenta y tres  con 39/100.-) del presupuesto vigente y con estricto cumplimiento del art. 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.
 
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29815",
"APS (S.S.P.)","Licitación Privada",0,0,"BIOLOGÍA MOLECULAR - CMV","35.767.000,00",",00","96.571,00","","22/02/2024","29/02/2024",398,,,,"Rosario, Cuna de la Bandera, 29/02/2024

VISTO el llamado a Licitación Privada Nº 11-029/24 efectuado por la DIRECCIÓN DE BIOQUÍMICA dependiente de la Secretaría de Salud Pública para la adquisición de BIOLOGÍA MOLECULAR ? HCV  teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto:

EN USO DE SUS ATRIBUCIONES
LA SECRETARÍA DE SALUD PUBLICA
RESUELVE

ART. 1º: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.

ADJUDICATARIO:  PRODUCTOS ROCHE S.A.Q.e.I , en el/los ítem/s  1, 2, 3, 4 y 5 por un importe total de $ 35.786.626,00  (pesos treinta y cinco millones setecientos veintiséis mil seiscientos veintiséis  con 00/100).-


ART. 2º: EL GASTO: que demande el cumplimiento de la presente resolución, deberá imputarse a los conceptos analíticos contenidos en el Clasificador por Objeto del Gasto vigente y a los clasificadores presupuestarios institucional, por fuente de financiamiento y por finalidad y función, de acuerdo a las relaciones de conversión definidas por el área responsable para los sistemas informáticos de Liquidación de Haberes y Administrativo-Contable de manera optativa a las siguientes partidas:          
 
0.08013.1.08.11.2.01.14.2.1.02.05.02.09;   0.08013.1.08.11.2.01.15.2.1.02.05.02.09; 0.08013.1.08.11.2.01.17.2.1.02.05.02.09;    0.08013.1.08.11.1.01.01.2.1.02.05.02.09 
 (OTROS SIN DISCRIMINAR) la suma de $ $ 35.786.626,00  (pesos treinta y cinco millones setecientos veintiséis mil seiscientos veintiséis  con 00/100.-) del presupuesto vigente y con estricto cumplimiento del art. 55 de la Ordenanza de Contabilidad, según corresponda.-

ART. 3º: COPIAR comunicar a quien corresponda y archivar.
 

","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29816",
"Secretaría de Desarrollo Humano y Hábitat","Licitación Privada",3046,2024,"COMPRA DE CAPAS Y BOTAS DE LLUVIA PARA LA DIRECCIÓN GENERAL DE INTEGRACIÓN COMUNITARIA ""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","4.139.409,40","8.278,81",",00","","22/02/2024","13/03/2024",1564,,,,"Item1: a la firma :MERLO EMILIO FABIÁN por la suma de $21.200 c/u. Por mejor precio.
Item2: a la frma: PROSEIND S.A por la suma de $20.700 c/u. Por mejor precio.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29820",
"Secretaría de Deporte y Turismo","Concurso de Precios",4,2024,"Adquisición de elementos de limpieza para las oficinas y actividades de la Subsecretaria de Turismo - Secretaria de Deporte y Turismo - Municipalidad de Rosario ","743.000,00",",00",",00","","22/02/2024",,0,,,,,"Abierta en evaluación","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29828",
"Servicio Público de la Vivienda y el Hábitat","Concurso de Precios",2,2024,"TIRANTE DE MADERA, FENOLICO Y PINTURA ASFÁLTICA - Programas con el Estado Nacional - Programa Argentina Unida Integraciones de Barrios populares - Convenio Ejército Ampliación Red de Agua. ","1.362.159,14",",00",",00","","22/02/2024","29/02/2024",290,,,,"Se ADJUDICA a la firma MADERAS AMIANO S.A por mejor precio para los items 2 y 3 por una suma total de $139.896,66
Se ADJUDICA a la firma MADETEC S.A para el ítem 1 alternativa por una suma total de $79.200","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29829",
"Centro Municipal de Distrito Centro ""Antonio Berni""","Concurso de Precios",3,2024,"Repuestos y Reparación para Bombas de Agua para el Centro Municipal Centro ""Antonio Berni""","480.000,00",",00",",00","","22/02/2024","29/02/2024",55,,,,"Proveedor: Willmott. Daniel Omar
Monto adjudicado: $460.000,00
Observación: ÚNICA PROPUESTA","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29870",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",8418,2024,"COMPRA DE TELÉFONOS MOVILES PARA LA SUBSECRETARÍA DE ECONOMÍA SOCIAL""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","399.998,00",",00",",00","","22/02/2024","04/03/2024",1403,,,," a la firma ROSARIO CONFORT SRL  por un valor de $220.000 c/u por mejor precio","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=29873",
