"Repartición Licitante","Tipo de Licitación","Nro. Expediente","Año Expediente","Objeto","Monto Oficial","Costo Pliego","Sellado","Observaciones","Fecha Apertura","Fecha Resolución","Nro. Resolución","Tipo de Norma","Nro de Norma","Año Norma","Resultado","Estado","Link",
"APS (S.S.P.)","Licitación Privada",0,0,"Microbiología - Sensibilidad a antibióticos. Pruebas de CIM. Dirección de Bioquímica.","4.506.730,00","12.168,17",",00","","03/01/2023","12/01/2023",87,,,,"ADJUDICATARIO: IANUS S.A ítem 1, 2,  3,  4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17 y 18    por un importe total de pesos  cuatro millones quinientos veinte   mil doscientos ochenta y seis    ($4.520.586,00);  DÉBORA L. TOTARO ítem  12 por un importe total de pesos   doscientos catorce  mil setecientos ochenta y tres  con 47/100 ($ 214.783,47).-  ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26637",
"APS (S.S.P.)","Licitación Privada",0,0,"Microbilogía - Tuberculósis Screening. Dirección de Bioquímica.","4.214.600,00","11.379,42",",00","","03/01/2023","12/01/2023",88,,,," ADJUDICATARIO: IANUS S.A ítem 1    por un importe total de pesos  cinco millones quince  mil cuatrocientos   ($5.015.400,00).-  
","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26638",
"APS (S.S.P.)","Licitación Privada",0,0,"Química Clínica - Sedimento Urinario. Dirección de Bioquímica.","4.174.550,00","11.271,29",",00","","03/01/2023","12/01/2023",89,,,,"  ADJUDICATARIO: IANUS S.A ítem 1, 2,  3,  4 y 5    por un importe total de pesos  cuatro millones novecientos veinticuatro  mil seiscientos noventa y dos ($4.924.692,00).-  ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26639",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"ANTIINFECCIOSOS de VÍA de EXCEPCIÓN ""Hosp. Vilela""","619.138,00",",00","1.238,28","","03/01/2023","18/01/2023",132,,,,"RESOLUCIÓN Nº:  000132
   ROSARIO, ? Cuna de la Bandera ? 18 ENE 2023 
	Visto el llamado a Licitación Privada Nº:03-167/2022 efectuado por  el Hospital de Niños Victor  J. Vilela, para la adquisición de ANTIINFECCIOSOS VÍA DE EXCEPCIÓN, dependiente de la Secretaría de Salud Pública, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto;

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA

ART. 1º ADJUDICASE: la precitada Licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-      
ADJUDICATARIOS: GRUPO BOSCH S.C. ítem 1, única propuesta, pesos doce mil quinientos sesenta c/20.- ($ 12.560,20.-); NUEVA ERA ROSARIO S.R.L. ítem 2, mejor precio, pesos doscientos treinta y cuatro mil ochocientos c/00.- ($ 234.800,00.-).-
ART. 2º EL GASTO que demande el cumplimiento de la presente resolución se imputará de la siguiente manera:
A la partida: 0.08030.1.08.03.00.1.01.01.2.1.02.05.02.26 (Antiinfecciosos Vía de Excepción), la cantidad de pesos doscientos cuarenta y siete mil trescientos sesenta c/20.- ($ 247.360,20.-).- Del ejercicio 2023.-
ART. 3º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26648",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"HEMODERIVADOS Y SOLUCIONES P/ PERFUSION ""Hosp. Vilela""","751.488,44",",00","1.502,98","","03/01/2023","18/01/2023",133,,,,"RESOLUCIÓN Nº: 000133
       ROSARIO, ? Cuna de la Bandera ?  18 ENE 2023
	Visto el llamado a Licitación Privada Nº:03-168/2022 efectuado por  el Hospital de Niños Victor  J. Vilela, para la adquisición de HEMODERIVADOS Y SOLUCIONES P/ PERFUSION, dependiente de la Secretaría de Salud Pública, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto;

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE

ART. 1º ADJUDICASE: la precitada Licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-      
ADJUDICATARIOS: D?AGOSTINO, RUBÉN, LUCIANO Y CRISTIAN, ítem 1, mejor precio, pesos trescientos sesenta y cinco mil setecientos sesenta c/00.- ($ 365.760,00.-); DROGUERÍA MONUMENTO S.A. item 2, mejor precio, pesos noventa y cuatro mil novecientos veinticinco c/28.- ($ 94.925,28.-); DROGUERÍA LÍDER S.R.L., ítem 3, mejor precio, pesos treinta y siete mil c/00.- ($ 37.000,00); GRUPO BOSCH S.C., ítem 4, mejor precio, pesos diecisiete mil doscientos cincuenta c/00.- ($ 17.250,00.-); DROGUERÍA COMARSA S.A. ítem 5, mejor precio, pesos ciento sesenta  y dos mil cincuenta y dos c/80.- ($ 162.052,80.-).-  
ART. 2º EL GASTO que demande el cumplimiento de la presente resolución se imputará de la siguiente manera:
A la partida: 0.08030.1.08.03.00.1.01.01.2.1.02.05.02.17 (HEMODERIVADOS Y SOLUCIONES P/ PERFUSION), la cantidad de pesos seiscientos setenta y seis mil novecientos ochenta y ocho c/08.- ($ 676.988,08.-).- Del ejercicio 2023.-
ART. 3º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26649",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"ESPECÍFICOS NORMATIZADOS ""Hosp. Viela"" ","1.378.317,12",",00","2.756,63","","03/01/2023","18/01/2023",125,,,,"RESOLUCIÓN Nº: 000125
       ROSARIO, ?Cuna de la Bandera?  18 ENE 2023
	Visto el llamado a Licitación Privada Nº:03-170/2022 efectuado por  el Hospital de Niños Victor  J. Vilela, para la adquisición de ESPECÍFICOS NORMATIZADOS, dependiente de la Secretaría de Salud Pública, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto;
EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE
        
Articulo 1º: SE DESESTIMAN: ítems 9 y 11, por superar ampliamente el valor presupuestado en pliego.-
Articulo 2º: SE DECLARA DESIERTO: ítem 10.-
ART. 3º ADJUDICASE: la precitada Licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-      
ADJUDICATARIOS: DROGUERÍA MONUMENTO S.A. ítems 1, 5, 6 y 7, mejor precio, pesos setecientos noventa y nueve mil doscientos cuarenta y seis c/84.- ($ 799.246,84.-); GRUPO BOSCH S.C. ítem 17, mejor precio, pesos treinta y nueve mil novecientos cincuenta y seis c/00.- ($ 39.956,00.-); NUEVA ERA ROSARIO S.R.L. ítems 2, 3, 13, 15, 16, 18 y 19, mejor precio, pesos doscientos un mil doscientos veinticinco c/00.- ($ 201.225,00.-); DROGUERÍA COMARSA S.A. ítem 12, única propuesta, pesos dos mil ciento veintiséis c/72.- ($ 2.126,72.-);  DROGUERÍA KELLERHOFF S.A. ítems 4, 8 y 14, mejor precio, pesos doscientos ochenta y tres mil cuatrocientos cuarenta y cinco c/00.- ($ 283.445,00.-).- 
ART. 4º EL GASTO que demande el cumplimiento de la presente resolución se imputará de la siguiente manera:
A la partida: 0.08030.1.08.03.00.1.01.01.2.1.02.05.02.24 (Específicos Normatizados), la cantidad de pesos un millón trescientos veinticinco mil novecientos noventa y nueve c/56.- ($ 1.325.999,56.-).- Del ejercicio 2023.-
ART. 5º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26650",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"ESPECÍFICOS de VIA de EXCEPCIÓN ""Hosp. Vilela""","628.168,70",",00","1.256,34","","03/01/2023","18/01/2023",124,,,,"RESOLUCIÓN Nº: 000124
       ROSARIO, ?Cuna de la Bandera?  18 ENE 2023  
	Visto el llamado a Licitación Privada Nº:03-169/2022 efectuado por  el Hospital de Niños Victor  J. Vilela, para la adquisición de ESPECÍFICOS VÍA DE EXCEPCIÓN, dependiente de la Secretaría de Salud Pública, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto;
EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE
        
Articulo 1º: SE DECLARA DESIERTO: ítem 3.-
ART. 2º ADJUDICASE: la precitada Licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-      
ADJUDICATARIOS: DROGUERÍA MONUMENTO S.A. ítem 9, mejor precio, pesos trescientos dieciocho mil cuatrocientos c/00.- ($ 318.400,00.-); GRUPO BOSCH S.C. ítem 8, , mejor precio, pesos veintiún mil setecientos sesenta y siete  c/70.- ($ 21.767,70.-); NUEVA ERA ROSARIO S.R.L. ítems 1 y 4, mejor precio, pesos veintiún mil setecientos cuarenta y uno c/00.- ($ 21.741,00.-); DROGUERÍA 20 DE JUNIO S.A.. ítems 2 y 5, mejor precio, pesos ciento setenta y dos mil doscientos sesenta c/00.- ($ 172.260,00.-); DROGUERÍA COMARSA S.A. ítem 6, mejor precio, pesos setenta y siete mil ciento veinte c/00.- ($ 77.120,00.-); MULLER, EDUARDO, ítem 7, mejor pecio, pesos ciento tres mil c/00.- ($ 103.000,00.-).-
ART. 3º EL GASTO que demande el cumplimiento de la presente resolución se imputará de la siguiente manera:
A la partida: 0.08030.1.08.03.00.1.01.01.2.1.02.05.02.07 (Específicos Vía de Excepción), la cantidad de pesos setecientos catorce mil doscientos ochenta y ocho c/70.- ($ 714.288,70.-).-  Del ejercicio 2023.-
ART. 4º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26651",
"Hospital de Niños ""Víctor J. Vilela""","Licitación Privada",0,0,"DROGAS SISTEMA NERVIOSO CENTRAL - PSICOFARMACOS ""Hosp. Vilela""","2.735.071,10",",00","5.470,14","","03/01/2023","18/01/2023",131,,,,"RESOLUCIÓN Nº: 000131
       ROSARIO, ?Cuna de la Bandera?  18 ENE 2023
	Visto el llamado a Licitación Privada Nº:03-171/2022 efectuado por  el Hospital de Niños Victor  J. Vilela, para la adquisición de DROGAS SISTEMA NERVIOSO CENTRAL - PSICOFARMACOS, dependiente de la Secretaría de Salud Pública, y teniendo en cuenta los informes obrantes en el mencionado legajo, considerando conveniente proveer al respecto;

EN USO DE SUS ATRIBUCIONES
LA SECRETARIA DE SALUD PUBLICA
RESUELVE

ART. 1º ADJUDICASE: la precitada Licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-      
ADJUDICATARIOS: DROGUERÍA LÍDER S.R.L. ítems 2 y 12, mejor precio, pesos treinta y nueve mil c/00.- ($ 39.000,00.-); NUEVA ERA ROSARIO S.R.L. Ítems 5, 6, 9, 10, 13 y 21, mejor precio, pesos un millón cuatrocientos once mil ciento veinte c/00.- ($ 1.411.120,00.-); DROGUERÍA 20 de JUNIO S.A., ítems 7 y 14, mejor precio, pesos seiscientos treinta y cuatro mil quinientos c/00.- ($ 634.500,00.-); DROGUERÍA COMARSA S.A. ítem 1, mejor precio,  pesos sesenta y cuatro mil ochocientos ochenta c/00.- ($ 64.880,00.-); MACROPHARMA S.A., ítems 3, 4, 8, 11, 15, 16, 17, 18, 19 y 20, mejor precio, pesos novecientos setenta y un mil  sesenta y uno c/50.- ($ 971.061,50.-).-
ART. 2º EL GASTO que demande el cumplimiento de la presente resolución se imputará de la siguiente manera:
A la partida: 0.08030.1.08.03.00.1.01.01.2.1.02.05.02.14 (Drogas Sistema Nervioso Central - Psicofarmacos), la cantidad de pesos tres millones ciento veinte mil quinientos sesenta y uno c/50.- ($ 3.120.561,50.-).- Del ejercicio 2023.-
ART. 3º: COPIAR comunicar a quien corresponda y archivar.","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26652",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",78381,2022,"COMPRA DE LECHE EN POLVO PARA LA DIRECCIÓN GENERAL DE INTEGRACIÓN COMUNITARIA ""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","3.268.300,00",",00",",00","","03/01/2023","06/01/2023",11,,,,"a la firma; Amelong Jose M. por un valor de $823,20 c/u  por mejor precio","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26685",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",78386,2022,"COMPRA DE CAJAS CON ALIMENTOS PARA LA DIRECCIÓN GENERAL DE INTEGRACIÓN COMUNITARIA ""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","21.747.200,00",",00",",00","","03/01/2023","05/01/2023",8,,,,"	5.000 cajas  A la firma: RIDOLFO HERMANOS S.H. por la suma de $2.339,00 c/u. Por mejor precio. 
		5.000 cajas  A la firma: AMELONG, JOSE MAURICIO por la suma de $2.344,00 c/u. Por única propuesta y precio corriente en plaza.    ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26689",
"Secretaría de Cultura y Educación","Concurso de Precios",39877,2022,"Servicio de provisión de bidones de agua potable para el Museo Municipal de Bellas Artes ""Juan B. Castagnino"" + MACRO","370.000,00",",00",",00","","03/01/2023","17/01/2023",32,,,,"Se adjudico a María Elena Tonelli, por única propuesta y precio corriente en plaza, por la suma total de $ 351.900.- (Pesos Trescientos Cincuenta y Un Mil Novecientos).","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26691",
"Secretaría de Desarrollo Humano y Hábitat","Concurso de Precios",80704,2022,"CONTRATACIÓN DEL SERVICIO DE LIMPIEZA PARA LOS REFUGIOS DEPENDIENTES DE LA DIRECCIÓN GENERAL DE INTERVENCIONES EMERGENTES ""SECRETARÍA DE DESARROLLO HUMANO Y HÁBITAT""","363.600,00",",00",",00","","03/01/2023","09/01/2023",31,,,,"a la firma KL SERVICIO DE LIMPIEZA SRL por la suma de$ 356.400 total global por mejor precio","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26692",
"Secretaría de Cultura y Educación","Licitación Privada",25870,2022,"Servicio de impresiones para el Tríptico de la Infancia","3.180.833,35","8.588,30",",00","","04/01/2023","31/01/2023",47,,,,"Se adjudicó a Mauricio Esteban Mariani (titular de la empresa ""Xanto conceptos gráficos"") por única propuesta y precio corriente en plaza, por la suma total de $ 2.927.700.- (Pesos Dos Millones Novecientos Veintisiete Mil Setecientos).","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26583",
"Secretaría de Obras Públicas","Licitación Privada",26675,2022,"PROVISION DE MATERIALES PARA PISOS Y REVESTIMIENTOS-CLUB ARGENTINO","3.000.000,00","6.000,00",",00","","04/01/2023","20/01/2023",2,,,,"Se declara DESIERTO.","Desierta","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26611",
"APS (S.S.P.)","Licitación Privada",0,0,"Computación - Etiquetas. Dirección de Bioquímica.","2.648.600,00","5.297,20",",00","","04/01/2023","12/01/2023",86,,,,"ART. 1º: DESESTÍMESE: ítem 1, 9, y 10 por superar el presupuesto oficial.-

             ART. 2°: ADJUDICASE: la precitada licitación en la forma que se indica seguidamente con estricto cumplimiento de las cláusulas contenidas en el Pliego de Bases y Condiciones propuestas por los mejores oferentes y demás constancias obrantes en dichas actuaciones.-
 ADJUDICATARIO: ID GROUP S.A ítem 2, 3, 4, 5, 6, 7 y 8     por un importe total de pesos  un millón quinientos setenta mil sesenta y tres   ($1.570.063,00).-  ","Adjudicada","https://www.rosario.gob.ar/sitio/licitaciones/detalleLicitacion.do?id=26640",
